MSA,Count
C38740,32.166666666666664
C38780,6.666666666666667
C38820,25.666666666666668
C38900,469.8333333333333
C38940,111.0
C39020,36.666666666666664
C39060,30.5
C39100,85.16666666666667
C39140,178.83333333333334
C39220,14.166666666666666
C39260,13.166666666666666
C39340,165.83333333333334
C39380,47.833333333333336
C39420,18.333333333333332
C39460,28.833333333333332
C39500,54.5
C39540,27.5
C39580,131.66666666666666
C39660,119.83333333333333
C39700,2.0
C39740,49.833333333333336
C39780,16.0
C39820,38.833333333333336
C39860,15.5
C39900,142.83333333333334
C39940,31.166666666666668
C39980,12.333333333333334
C40060,203.33333333333334
C40080,38.333333333333336
C40100,15.833333333333334
C40140,317.0
C40180,49.166666666666664
C40220,61.833333333333336
C40260,20.166666666666668
C40300,15.5
C40340,40.166666666666664
C40380,153.83333333333334
C40420,42.833333333333336
C40460,15.333333333333334
C40540,40.5
C40580,35.833333333333336
C40620,31.0
C40660,14.166666666666666
C40700,52.333333333333336
C40740,23.833333333333332
C40760,19.5
C40780,37.0
C40820,28.166666666666668
C40900,188.83333333333334
C40940,36.833333333333336
C40980,17.5
C41060,42.0
C41100,73.83333333333333
C41140,53.833333333333336
C41180,623.8333333333334
C41220,24.5
C41260,14.333333333333334
C41420,83.66666666666667
C41460,23.5
C41500,17.166666666666668
C41540,27.333333333333332
C41580,45.333333333333336
C41620,256.5
C41660,51.166666666666664
C41700,426.0
C41740,130.16666666666666
C41780,11.833333333333334
C41860,99.83333333333333
C41940,63.833333333333336
C42020,46.0
C42060,33.833333333333336
C42100,11.666666666666666
C42140,20.0
C42220,26.166666666666668
C42300,18.333333333333332
C42340,67.66666666666667
C42380,42.333333333333336
C42420,27.166666666666668
C42460,14.333333333333334
C42500,2.8333333333333335
C42540,92.33333333333333
C42580,47.333333333333336
C42620,54.0
C42660,414.5
C42680,37.333333333333336
C42700,27.166666666666668
C42740,24.833333333333332
C42780,12.0
C42820,6.0
C42860,20.0
C42900,4.5
C42940,10.333333333333334
C42980,1.3333333333333333
C43060,35.666666666666664
C43100,14.0
C43140,5.0
C43180,28.666666666666668
C43220,10.5
C43260,20.0
C43300,26.666666666666668
C43320,40.833333333333336
C43340,137.0
C43380,17.666666666666668
C43420,71.66666666666667
C43460,14.833333333333334
C43500,18.833333333333332
C43540,9.0
C43580,55.666666666666664
C43620,72.16666666666667
C43660,11.5
C43700,35.333333333333336
C43740,16.666666666666668
C43780,40.5
C43860,23.833333333333332
C43900,48.0
C43940,28.0
C43980,16.333333333333332
C44020,21.5
C44060,87.5
C44100,68.33333333333333
C44180,150.5
C44220,33.833333333333336
C44260,2.3333333333333335
C44300,30.0
C44340,24.5
C44380,53.5
C44420,21.333333333333332
C44500,29.0
C44540,10.166666666666666
C44580,1.0
C44600,52.666666666666664
C44620,37.5
C44660,16.166666666666668
C44700,36.833333333333336
C44740,7.666666666666667
C44780,7.5
C44860,20.833333333333332
C44900,1.0
C44940,21.5
C44980,15.5
C45000,8.833333333333334
C45020,10.833333333333334
C45060,88.5
C45140,27.0
C45180,15.666666666666666
C45220,89.66666666666667
C45260,4.0
C45300,499.1666666666667
C45340,10.333333333333334
C45380,16.666666666666668
C45460,68.33333333333333
C45500,54.833333333333336
C45520,12.333333333333334
C45540,12.5
C45580,8.833333333333334
C45620,14.0
C45640,24.166666666666668
C45660,7.0
C45700,10.333333333333334
C45740,4.833333333333333
C45780,102.0
C45820,65.83333333333333
C45900,43.5
C45980,13.0
C46020,12.166666666666666
C46060,217.33333333333334
C46100,19.5
C46140,328.1666666666667
C46180,57.333333333333336
C46220,34.333333333333336
C46260,2.1666666666666665
C46300,46.5
C46340,75.66666666666667
C46380,16.833333333333332
C46420,9.666666666666666
C46460,12.0
C46500,1.0
C46540,55.166666666666664
C46620,12.333333333333334
C46660,29.666666666666668
C46700,28.5
C46740,13.666666666666666
C46780,7.833333333333333
C46820,6.666666666666667
C46860,19.333333333333332
C46900,5.5
C46980,19.833333333333332
C47020,59.333333333333336
C47080,20.333333333333332
C47180,17.166666666666668
C47260,227.83333333333334
C47300,36.333333333333336
C47340,11.666666666666666
C47380,75.83333333333333
C47420,13.333333333333334
C47460,7.0
C47500,15.333333333333334
C47540,1.0
C47580,25.333333333333332
C47620,22.166666666666668
C47660,7.5
C47700,12.5
C47780,19.166666666666668
C47820,7.0
C47900,560.3333333333334
C47920,4.0
C47940,68.33333333333333
C47980,18.666666666666668
C48020,14.5
C48060,23.833333333333332
C48100,8.666666666666666
C48140,42.833333333333336
C48180,25.166666666666668
C48220,26.5
C48300,31.0
C48460,38.833333333333336
C48500,6.166666666666667
C48540,42.833333333333336
C48580,19.666666666666668
C48620,160.66666666666666
C48660,50.0
C48700,32.166666666666664
C48780,15.5
C48820,12.166666666666666
C48900,118.33333333333333
C48940,10.666666666666666
C48980,8.666666666666666
C49020,61.0
C49060,18.333333333333332
C49100,13.0
C49180,41.333333333333336
C49260,12.833333333333334
C49300,8.0
C49380,10.333333333333334
C49420,30.333333333333332
C49460,11.0
C49540,7.666666666666667
C49620,83.16666666666667
C49660,92.0
C49700,20.833333333333332
C49740,38.5
C49780,20.666666666666668
C99999,7336.0
CEmpty,19732.666666666668
