,Firearm Prevalence,Fireaarm  licenses,Homicides,Firearm Homicides,Gini,Urbanicity,Armed_Robberies
74,0.047617245,0.249537306,-0.031973092,-0.00928772,0.4656,1,0.277623694
75,0.031763709,0.324729905,0.052541555,0.043996876,0.445016667,6.666666667,0.043363745
76,0.057620807,0.132845132,0.259783074,0.366087477,0.43095,2,-0.02325209
77,-0.051734617,-0.25619577,0.490013931,0.556573425,0.476033333,4,-0.122721133
78,0.064235682,-0.013855439,0.031025037,0.136705182,0.461916667,3,-0.248038366
79,0.012409335,0.051210346,0.173656088,0.195937301,0.483316667,1,0.396106933
80,0.048628927,0.294593763,-0.201575322,-0.196836377,0.4339,3,-0.358077568
81,0.043444186,-0.063140289,-0.171715247,-0.169630018,0.503066667,3,0.2420834
82,0.014346138,0.237229606,0.048231179,0.093310286,0.43235,2,0.200535962
83,-0.012354334,-0.034985975,0.088146801,0.241753461,0.464683333,3,0.603194124
84,0.090679873,0.104567299,0.234568951,0.276855001,0.46245,2,0.402949932
85,0.119484488,-0.038444053,0.468238593,0.587710203,0.486716667,2,1.006738852
86,-0.026318722,0.009992901,-0.359756034,-0.430992639,0.42925,3,-0.058093714
87,0.0290811,0.084552794,0.04666295,0.073010203,0.458783333,1,0.163442807
88,0.070284679,-0.011179305,-0.132768189,-0.191487107,0.47455,6.333333333,-0.502410081
89,-0.049837402,0.039752746,-0.646209938,-0.81976075,0.449283333,4,-0.62119236
90,0.080368871,-0.025246095,0.166531669,0.193822743,0.461183333,2,0.512846799
91,-0.008046512,0.008723977,-0.463836648,-0.781136447,0.478383333,3,0.121061323
92,0.065402761,0.027937612,0.021960045,-0.018598033,0.449083333,3,-0.399086571
93,-0.008962733,0.079451864,-0.152560842,-0.22995653,0.4356,3,-0.178924132
94,0.105874091,0.385264833,-0.132044569,-0.170140593,0.468516667,1,-0.215942261
95,0.053146412,-0.02835169,-0.311220861,-0.485079649,0.450383333,3,-0.652960242
96,-0.083169081,-0.064300385,0.43374698,0.58411492,0.447733333,3,0.17862505
97,0.103484813,-0.083690005,0.522149322,0.610350748,0.4566,4,0.983999848
98,0.036434599,0.013452555,-0.097246462,-0.084473245,0.459766667,3,0.100179305
99,-0.12813198,0.123069522,0.017471943,-0.181324569,0.439316667,2,-0.104496479
100,0.026830867,0.161528371,0.141403922,0.222252609,0.46076,2,0.676288974
101,0.074489123,-0.016110355,0.275210744,0.347322846,0.4517,3,-0.718278465
102,-0.095147701,-0.149237064,0.221846215,0.292846131,0.468083333,3,0.287770933
103,0.023390633,-0.033790855,-0.017597003,-0.027116202,0.454,2,0.189259573
104,-0.001541059,0.295667736,-0.156432245,-0.201763875,0.452033333,1,-0.327750159
105,-0.062318498,0.035808755,-0.160786668,-0.228409832,0.438583333,2,0.330721944
106,0.017216242,0.09329618,0.14676014,0.153630499,0.475366667,1,0.085679591
107,0.10865653,0.112438934,0.249946128,0.326400157,0.471483333,3,0.300409638
108,-0.058599558,-0.320031161,0.099154984,0.187000256,0.428566667,3,0.669961402
109,0.077348911,-0.158070448,0.329336866,0.478007797,0.5046,6,0.019530586
110,-0.161420247,-0.319895527,-0.392028701,-0.51989365,0.439466667,3,-0.016188352
111,-0.044701192,0.079946896,-0.377525396,-0.532744691,0.43595,2,0.081128614
112,0.054884204,0.275878069,0.166074782,0.222911839,0.41746,4,-0.280515746
113,-0.024831112,0.01089795,0.210342254,0.271196922,0.490483333,2,0.363123045
114,0.008494468,-0.008095123,-0.140187014,-0.088561603,0.415716667,3,-0.276850211
