,Firearm Prevalence,Homicides,Firearm Homicides,Armed_Robberies,Fireaarm  licenses
45,0.115971256,0.484032005,0.572310081,0.493924426,0.105466466
46,-0.019632299,0.079233725,0.111644181,-0.076412092,-0.048353204
47,-0.035159821,-0.199609707,-0.153593584,-0.181571534,-0.033715923
48,0.03985469,0.313252963,0.361343653,0.302306667,0.102109649
49,-0.113062366,-0.54366374,-0.808164623,-0.097388508,0.140650883
50,0.042859925,0.280350603,0.281939878,0.575386063,-0.05247385
51,-0.133755619,-0.405926583,-0.479482981,-0.261343963,0.09418339
52,-0.07964217,-0.006228356,-0.176611552,0.042599958,-0.080846944
53,-0.019366589,-0.25004826,-0.416961483,-0.697643447,-0.160875062
54,-0.15558216,0.188244296,0.165467036,0.03523222,-0.106871617
55,0.004700177,-0.393427683,-0.362200092,-0.910215936,0.26479347
56,0.050784222,0.773529496,0.803577512,0.284801548,-0.3289732
57,0.034466455,0.334198925,0.486604793,-0.155424275,-0.04147269
58,0.023973136,-0.06647281,-0.206412611,-0.247976182,0.234149166
59,-0.100059893,-0.299784545,-0.535998532,-0.04966948,-0.140293161
60,0.138240267,0.452708118,0.535834968,0.230118562,0.106258712
61,-0.001340175,-0.16808168,-0.265421807,-0.297679441,0.122478933
62,-0.022980015,0.06943425,0.217643282,0.041394253,0.302148452
63,0.005488319,-0.307425908,-0.296881354,-0.346752604,0.026748462
64,-0.056943072,-0.264052488,-0.281418331,-0.032494411,0.140405009
65,0.07249399,0.199442529,0.179422221,0.464942176,0.078179606
66,0.007048885,0.810813615,0.986935261,0.464272999,-0.339676246
67,0.036585532,0.284493769,0.386623983,0.207675146,-0.146188259
68,0.057617224,-0.459696765,-0.511681427,-0.446449016,0.296221993
69,-0.068782177,-0.506858463,-0.851685886,-0.88486088,0.123597818
70,0.046432034,0.056481338,0.032075755,0.164367433,-0.009235203
71,-0.007847674,-0.34919549,-0.438901008,-0.044715436,0.269601409
72,0.057864311,0.008973038,0.045907701,-0.347570093,0.29780804
73,-0.058129028,-0.254023338,-0.453113644,-0.790534408,-0.210113796
74,0.079392529,0.748542423,0.903142787,0.17215545,0.067711336
75,-0.068945566,-0.304756742,-0.385739416,-0.716563071,-0.284467212
76,0.071699722,0.232700854,0.280182436,0.450263607,0.085468805
77,-0.224311277,0.047687629,0.043808294,0.155175366,-0.203154794
78,-0.023637592,0.305469359,0.356436936,0.204685222,0.257017828
79,0.01965983,0.128550437,0.143385302,0.48610155,0.018850606
80,0.014119501,-0.033538591,0.053928992,0.17063458,0.279032826
81,-0.061965862,-0.558389586,-0.508309947,-0.108077424,0.122542144
82,0.062563534,-0.000944321,0.010616376,-0.063216199,-0.060700845
83,0.026487414,0.333158213,0.392352392,-0.09741582,-0.010868538
84,0.036692857,0.349399916,0.285842197,0.038653135,0.202831794
85,-0.023842506,0.149934646,0.154699522,-0.276343668,0.265409202
86,-0.011950527,0.047012921,0.089842735,0.03936929,0.050878688
87,0.017779411,0.019213526,0.088319795,0.211779272,-0.022763104
88,0.038381487,0.243997739,0.385679196,0.327179719,0.250054347
89,0.063248641,-0.148054551,-0.030566992,0.635514943,-0.126638048
90,0.045224029,0.425454961,0.580745913,-0.065874444,-0.089683044
91,-0.050296862,-0.018136687,-0.272012319,-0.046083605,0.08761392
92,0.029895608,0.082517604,0.165875508,-0.231556473,0.232868633
93,0.028277819,-0.280598439,-0.231618674,-0.298465884,0.108519613
94,-0.076373159,-0.171738919,-0.203101371,0.386691848,0.038920539
95,0.080042718,0.310358339,0.516224663,-0.218255037,-0.074104933
96,0.022857338,-0.148453525,-0.143874311,-0.508923525,0.015442041
97,0.048860777,-0.33263199,-0.273934556,0.203011872,0.025082284
98,-0.179820259,-0.115160615,-0.074764347,0.565858308,-0.079209466
99,0.058062788,0.31613245,0.373527386,0.411444037,0.17816025
100,-0.056473774,-0.20633479,-0.162174437,0.274599852,0.153840681
101,0.039876079,0.302534965,0.392021596,0.478350322,-0.098383556
102,0.068289962,0.028463153,0.060177487,0.250619506,0.052699962
103,0.063224104,-0.20316034,-0.211937154,-0.101535091,-0.100958352
104,0.059724081,0.173620133,0.229002213,0.140427499,0.119438611
105,0.033824112,0.089538314,0.159564082,-0.020000158,0.214038915
106,-0.106623244,0.162729657,0.195465006,0.071312473,-0.134848927
107,-0.007255853,-0.08910617,-0.116557686,0.232085931,-0.181915431
108,-0.063479261,-0.08184874,-0.08805397,-0.511518495,0.068297971
109,0.044001439,0.003492024,0.043140494,0.277623694,0.239316164
