,Firearms,Firearm Licenses,Homicides
228,0.06811849,-0.106436695,-0.099783521
229,-0.165444,-0.857003676,-0.044691725
230,-0.04342277,0.197536109,0.510396654
231,-0.007203431,-0.044164612,0.20988259
232,0.022397821,0.077102488,0.082776103
233,0.022157535,0.064699686,0.351553581
234,-0.017367554,-0.168983603,0.031914622
235,0.138550466,0.190490328,0.038503766
236,-0.013507936,-0.149448827,-0.141843593
237,-0.267895047,-0.248397852,-0.0401502
238,0.020378883,-0.165782253,-0.166797226
239,-0.067021599,0.018843656,-0.235741407
240,0.017843129,0.044786362,-0.060232552
241,0.140649271,0.418043462,0.154931012
242,-0.042903436,-0.214747057,-0.008578985
243,-0.016218456,0.09810368,-0.575596278
244,-0.063721918,-0.142588654,0.558499671
245,0.02294005,0.092337758,-0.179387136
246,-0.079748364,-0.333863197,0.280458403
247,0.127559677,-0.015029745,-0.002106687
248,0.03357996,0.097588735,0.051229148
249,0.093359215,0.259262986,0.374346073
250,0.096626723,0.095621747,0.137428312
251,0.027413022,0.135414235,0.013897793
252,-0.056358717,-0.112235489,-0.329480472
253,-0.028708557,-0.143585523,-0.469233186
254,-0.002838043,0.113460885,0.224762092
255,-0.045397245,0.080004615,0.389996929
256,0.060891079,0.055949046,0.342700677
257,-0.000952266,0.239298016,-0.254441535
258,0.045995498,0.321646737,-0.505843068
259,0.080480642,0.36306431,0.131218671
260,-0.050799246,-0.070938222,-0.08901286
261,0.106854307,-0.023024079,0.485773597
262,-0.11016752,0.098876424,0.22011169
263,0.023718763,-0.125152751,0.408750733
264,0.115921829,0.056095526,0.441551952
265,0.087294426,0.02809824,0.132846979
266,-0.069632799,-0.106081112,-0.603705453
267,0.0309967,0.15442738,-0.059353342
268,0.069393121,-0.143390259,0.773931129
269,-0.01084367,0.260873949,-0.421012766
270,-0.04398993,-0.027540883,0.117072829
271,0.078241002,-0.01009616,0.195981485
272,-0.067800088,0.163169337,-0.077003544
273,-0.042122601,0.068077402,0.017007267
274,0.048662024,0.089525475,0.34524476
275,0.042888891,0.33048026,0.128852658
276,-0.02532898,0.059990748,0.235028613
277,0.031378042,-0.200533447,-0.046774901
278,-0.02030351,-0.005687484,0.163733232
