MSA_title,Population,Armed_Rob_Count,County Code
C3708,354152,3,37077
C3710,5091262,6,6111
C3712,296341,5,1045
C3714,391600,8,21145
C3726,436647,8,12107
C3730,346677,3,48001
C3734,3440937,15,12009
C3742,136321,1,48179
C3746,1088431,17,12005
C3750,265963,1,5055
C3758,297495,2,48277
C3762,514208,3,54107
C3766,123232,2,20099
C3786,2887388,19,24146
C3790,2151721,75,51525
C3798,36418715,502,380361
C3806,25225404,96,4013
C3822,424298,18,5069
C3824,570738,1,37125
C3830,13063600,110,252332
C3834,765692,6,25003
C3838,207071,1,48189
C3846,487222,1,36019
C3850,280375,1,18099
C3854,507124,2,16005
C3862,270125,1,40071
C3870,221565,1,17105
C3874,257050,3,29023
C3886,2955401,15,46036
C3890,14339738,92,258214
C3894,2758038,30,24196
C3902,459755,3,39145
C3906,865516,3,42107
C3914,1341955,3,4025
C3930,9389945,88,201029
C3934,3509007,5,49049
C3938,986044,12,8101
C3946,1051821,3,12015
C3950,399634,3,17001
C3954,1173079,43,55101
C3958,7731623,41,111353
C3966,819091,3,92196
C3974,2495301,4,42011
C3978,380550,5,6103
C3982,1077909,5,6089
C3986,278705,1,27049
C3990,2700650,33,32031
C3994,231254,1,16065
C3998,401254,9,18177
C4006,6907006,170,513200
C4008,634654,8,42354
C4010,381814,2,48427
C4014,27042795,74,12136
C4022,1513176,21,205729
C4026,433795,9,74214
C4034,1043828,13,54266
C4038,5034408,36,72172
C4042,2043022,77,34208
C4058,888108,6,74192
C4066,580488,24,13115
C4070,649742,1,41019
C4074,392302,3,35005
C4082,285490,3,22061
C4086,357513,4,50021
C4090,12586307,27,18241
C4098,1159921,19,26145
C4106,1171346,7,54154
C4110,952957,3,49053
C4114,534791,1,29021
C4118,16460520,307,306922
C4142,2489748,12,82100
C4146,367130,5,40312
C4150,2602801,16,6053
C4154,2386692,22,82136
C4162,6688413,47,49035
C4170,13696813,162,241059
C4174,19773002,72,6073
C4178,451965,1,39043
C4182,361086,9,37105
C4186,27902475,184,30211
C4194,11469815,26,6085
C4202,1687229,2,6079
C4210,1640194,4,6087
C4214,891730,7,35049
C4220,2661981,2,6083
C4222,3004692,6,6097
C4234,2279015,70,39183
C4238,367837,1,42015
C4242,218348,1,31157
C4254,3180195,57,84148
C4262,473242,2,5145
C4266,22620474,148,159147
C4268,898027,4,12061
C4270,604567,1,12055
C4274,253998,2,29159
C4278,242441,2,42109
C4282,242371,12,1047
C4294,576829,2,47155
C4302,247319,3,55115
C4306,432039,3,40125
C4310,692008,2,55117
C4314,583125,5,37045
C4322,373646,1,53045
C4330,764720,2,48181
C4332,653127,1,4017
C4334,2654362,86,88182
C4338,293053,1,39149
C4342,760644,1,4003
C4346,232945,2,29201
C4350,170346,1,35017
C4358,614930,5,19193
C4362,1116529,18,46099
C4370,384542,3,21199
C4374,451774,1,42111
C4378,1613114,61,18141
C4390,1970321,34,90170
C4406,2974516,35,53063
C4410,1186153,39,17167
C4414,3781693,93,50028
C4418,2231320,33,58120
C4422,812608,8,39023
C4426,297488,1,28105
C4434,444119,11,13031
C4442,447686,3,51015
C4458,339792,2,17195
C4462,423133,2,55097
C4466,484926,3,40119
C4470,4377875,37,6077
C4478,365771,1,26149
C4490,149383,1,13055
C4494,644277,13,45085
C4502,89751,1,48353
C4506,3516034,47,72142
C4514,291068,2,40021
C4518,547834,3,2158
C4522,1999203,17,24112
C4530,18027609,124,48314
C4538,200904,3,17021
C4546,647195,4,18167
C4550,824448,11,53128
C4554,718212,4,12119
C4562,269366,2,13275
C4566,332996,1,39147
C4570,243751,13,13277
C4578,3633317,117,117319
C4582,1069794,24,20177
C4586,1101379,3,9005
C4590,548869,1,26055
C4594,2228916,46,34021
C4598,199665,3,1109
C4602,594587,1,6057
C4606,6089143,23,4019
C4610,575895,2,94082
C4614,5784797,179,240680
C4618,652526,6,56138
C4622,1229833,23,1125
C4630,636747,2,32136
C4634,1341096,27,48423
C4638,525962,3,6045
C4646,183941,2,47131
C4650,233911,1,39021
C4652,5935266,19,15003
C4654,1768766,5,72108
C4666,685742,20,13185
C4670,2624286,4,6095
C4674,203532,1,1017
C4686,217311,1,49047
C4690,77607,1,48487
C4698,283770,4,28149
C4708,162878,2,13279
C4722,927882,16,34011
C4726,9981236,222,618250
C4730,2762995,14,6107
C4738,1484393,10,48309
C4742,136500,2,65244
C4758,1069579,30,26378
C4770,472789,2,18085
C4782,284393,2,37013
C4790,34499472,561,619558
C4792,172373,1,39047
C4794,796858,24,19013
C4802,508049,1,55055
C4814,813827,3,55073
C4818,213883,1,13299
C4826,540075,3,93090
C4854,859441,6,147133
C4862,3110447,77,40268
C4866,792009,3,48485
C4870,692063,2,42081
C4878,200055,1,38105
C4882,255330,1,27067
C4890,1684283,69,74270
C4898,489569,3,37195
C4910,305860,3,27169
C4918,3714490,80,148490
C4934,5618841,42,34042
C4942,1494836,5,53077
C4962,2660682,23,42133
C4966,2604619,27,78254
C4970,577766,1,6101
C4974,1234016,4,4027
C4978,515739,1,39119
